station_id,n,mean,p95,p99,p999,max,values_gt_250mm_obs_hour
dhaka,11688,7.047370807665982,33.873,80.7006999999997,240.9697400000038,625.07,11
tangail,11688,7.090504791238878,34.632999999999996,83.5380999999997,235.8132800000318,801.56,11
mymensingh,11688,8.50449264202601,41.67949999999998,95.45119999999982,244.35999000003116,1270.57,12
faridpur,11688,6.377446098562628,32.186499999999995,72.67209999999987,179.14298000000665,441.65,6
madaripur,11688,6.644362594113621,31.665999999999986,77.82389999999997,203.0778100000084,509.5,7
srimangal,11688,10.258060403832992,51.96899999999998,117.15889999999958,328.9987700000505,851.66,22
sylhet,11688,13.714575633127994,70.213,177.43829999999926,413.275880000013,1013.44,52
bogra,11688,5.916812970568104,31.229499999999987,67.8575999999996,167.9516200000014,333.38,3
dinajpur,11688,5.489902464065708,29.89949999999999,69.65519999999998,146.5819000000121,214.73,0
ishurdi,11688,4.44333932238193,21.955499999999976,59.16519999999996,121.85136000000523,292.18,1
rajshahi,11688,4.4552712183436,22.8,57.1124999999998,116.92833000000078,416.77,2
rangpur,11688,6.36894250513347,33.962999999999994,77.24039999999994,177.47653000000346,335.03,4
sydpur,11688,7.0317582135523615,38.55649999999993,88.59039999999993,193.55144000000553,242.5,0
chuadanga,11688,4.496497262149212,22.58299999999999,57.15849999999964,127.13902000000104,195.28,0
jessore,11688,5.78311173853525,28.185999999999986,70.42299999999992,132.97059000000468,378.04,3
khulna,11688,5.78311173853525,28.185999999999986,70.42299999999992,132.97059000000468,378.04,3
mongla,11688,6.307132101300478,31.485999999999986,75.58339999999986,177.55825000000047,476.92,2
satkhira,11688,6.307132101300478,31.485999999999986,75.58339999999986,177.55825000000047,476.92,2
barisal,11688,7.671637577002053,36.8065,88.91809999999971,214.21447000000998,466.53,10
bhola,11688,9.314336071184119,44.295999999999985,108.95729999999983,289.869690000006,827.93,14
khepupara,11688,9.647825119780972,45.05,110.66,326.5234600000277,602.49,19
patuakhali,11688,9.314336071184119,44.295999999999985,108.95729999999983,289.869690000006,827.93,14
chandpur,11688,6.933940793976728,33.303,81.45629999999959,211.36022000002487,375.73,9
ambagan_ctg,11688,9.457442676249144,47.26249999999998,116.02979999999963,276.19583000001523,660.92,15
chittagong,11688,9.457442676249144,47.26249999999998,116.02979999999963,276.19583000001523,660.92,15
comilla,11688,7.2647938056125945,36.102999999999994,89.01889999999958,239.77632000000506,555.19,10
cox_s_bazar,11688,15.481585386721422,64.47549999999998,186.63,633.0291000000782,1315.06,72
feni,11688,8.57028918548939,42.685999999999986,106.0168999999999,246.8560400000136,555.19,12
hatiya,11688,9.9027712183436,48.99249999999998,117.91519999999997,280.49617000001166,636.77,17
kutubdia,11688,16.28693275154004,71.23399999999994,206.25029999999896,651.1196400000658,1593.9,79
m_court,11688,8.57028918548939,42.685999999999986,106.0168999999999,246.8560400000136,555.19,12
rangamati,11688,8.325426933607119,40.616499999999995,100.57979999999962,217.18254000001457,643.19,7
sandwip,11688,9.9027712183436,48.99249999999998,117.91519999999997,280.49617000001166,636.77,17
sitakunda,11688,7.198705509924709,35.60949999999999,89.2,256.3014600000008,578.27,14
teknaf,11688,13.40006160164271,59.318499999999965,159.7188999999988,455.3419700000244,1048.1,55
