fold,variable,model,n,bias,mae,rmse,pearson_r,nse,decay_km
1,T2M,idw_residual,69637,0.003913498775904046,1.0420829954106074,1.5262845000573126,0.9642265678602878,0.9288415829599151,25.0
2,T2M,idw_residual,69973,0.18393276927255656,1.1437194744214698,1.6203561949720107,0.9556146573671923,0.9109643634704778,25.0
3,T2M,idw_residual,70729,-0.3064378621238592,1.1113775682272071,1.536763518393674,0.9615265913872653,0.9178544968591317,25.0
4,T2M,idw_residual,72109,0.06472488399317218,0.9452080248272943,1.360597069739133,0.9701106827370254,0.9409535898341915,25.0
5,T2M,idw_residual,70489,0.14177373605871663,1.047436909051443,1.5182134545812,0.9548500533175728,0.9082469036806087,25.0
1,T2M,idw_residual,69637,0.01390640066309533,1.0108068547371023,1.465798597362574,0.9668494039617481,0.9343697748303444,50.0
2,T2M,idw_residual,69973,0.2151632590305128,1.1405937875587546,1.5944576103745016,0.9570441019021109,0.9137877785804432,50.0
3,T2M,idw_residual,70729,-0.32295997250355013,1.0955471390794331,1.5184675082966919,0.9628269985680902,0.9197988276630986,50.0
4,T2M,idw_residual,72109,0.06417860911773607,0.9431340470238112,1.3522995719830933,0.9704681145214187,0.9416715739362582,50.0
5,T2M,idw_residual,70489,0.12943960613981714,1.0528471604749094,1.5162027786579568,0.9550957744678249,0.9084897727942123,50.0
1,T2M,idw_residual,69637,0.018903080011779535,0.9994129362675872,1.441318833774519,0.9679023735531154,0.93654360236396,75.0
2,T2M,idw_residual,69973,0.23197611154090872,1.1367141769547768,1.5786428084738224,0.9579576507680249,0.9154895077874552,75.0
3,T2M,idw_residual,70729,-0.3289729766158141,1.0900290809032915,1.5128829576750664,0.9632323946251394,0.9203876633072633,75.0
4,T2M,idw_residual,72109,0.061706683736451065,0.9445567708627676,1.351551628082263,0.9704946478395442,0.9417360778771813,75.0
5,T2M,idw_residual,70489,0.12452784381598328,1.0603726309986425,1.521501870472994,0.9548571900702374,0.9078490029756484,75.0
1,T2M,idw_residual,69637,0.021730362818926176,0.9944492707233986,1.429649015237223,0.9684015794446654,0.9375670078074609,100.0
2,T2M,idw_residual,69973,0.242157069177763,1.1347156819155748,1.5705790620958968,0.9584422721618053,0.9163506661014779,100.0
3,T2M,idw_residual,70729,-0.3321754007174944,1.0873477981549444,1.5103638107062807,0.963420393533443,0.9206525723676886,100.0
4,T2M,idw_residual,72109,0.059497529322988525,0.9460327754675958,1.3519972850383841,0.9704700225310321,0.9416976479680625,100.0
5,T2M,idw_residual,70489,0.1219157010685667,1.065715007658754,1.5258840891585068,0.9546447381580095,0.9073174132655051,100.0
1,T2M,idw_residual,69637,0.02468318974701926,0.9905013317928717,1.419327780722572,0.9688411681369675,0.938465213594393,150.0
2,T2M,idw_residual,69973,0.25345037974954987,1.1331712282166673,1.5635819924791425,0.958885682959306,0.9170943363113849,150.0
3,T2M,idw_residual,70729,-0.33557708405495185,1.0849027393363746,1.5082084744257676,0.9635900552865089,0.9208788732928221,150.0
4,T2M,idw_residual,72109,0.056393970454300016,0.948321069783829,1.3533478289989729,0.9704038511146337,0.9415811104307157,150.0
5,T2M,idw_residual,70489,0.11918689153568923,1.072229243417637,1.5316140581314461,0.954359739961893,0.9066200267750889,150.0
1,T2M,idw_residual,69637,0.026160787407284662,0.9891345737158886,1.4149847547599574,0.9690253514465208,0.9388412201820601,200.0
2,T2M,idw_residual,69973,0.2594400027966752,1.1327565645230233,1.5608195710327684,0.9590741599174456,0.9173870207709545,200.0
3,T2M,idw_residual,70729,-0.3373712908537105,1.0838335664056034,1.5073417221614414,0.9636645544075413,0.9209697873955189,200.0
4,T2M,idw_residual,72109,0.05444480342114407,0.9498484954782344,1.3545017387064995,0.9703489140063039,0.9414814481555828,200.0
5,T2M,idw_residual,70489,0.1177740425411393,1.075941474791304,1.5350247090583222,0.9541878363947464,0.9062036802432945,200.0
