scale,variable,label,unit,n,bmd_mean,nasa_mean,bias,mae,rmse,ubrmse,pearson_r,r2,nse,kge,pbias_percent,std_ratio
daily,T2M,Temperature at 2 m,deg C,50707,26.115999587264657,25.547109324156423,-0.5688902631082213,1.2751040853756457,1.571723228091166,1.465154522315641,0.9459627138608371,0.8948454560149599,0.8683423672595778,0.9280812706204432,-2.1783208458374994,1.0421635763609198
daily,RH2M,Relative humidity at 2 m,%,50769,79.503120576955,77.25829718922964,-2.244823387725355,7.831280491751155,10.542658740165509,10.30089419756894,0.6543278331656761,0.42814491325528886,-0.43830878277518015,0.35024495375094955,-2.823566385111236,1.5494498343698504
daily,PRECTOTCORR,Precipitation,mm at obs hour,51135,5.65742446465239,65.99323711743426,60.33581265278185,60.46389752615625,141.8923333213426,128.42516874391637,0.6331125093929943,0.40083144954989436,-66.1156913366319,-11.76632457730831,1066.4890539813698,8.007463632172097
daily,WS10M,Wind speed at 10 m,m/s,51074,1.3721522412857536,2.781193439910718,1.4090411986249642,1.6995628786522636,2.018920982981145,1.4459062335086175,0.49976550804570835,0.24976556303218497,-0.7815492534990207,-0.14625878274644055,102.68840120135972,0.9041674587969167
