station_id,scale,variable,label,unit,n,bmd_mean,nasa_mean,bias,mae,rmse,ubrmse,pearson_r,r2,nse,kge,pbias_percent,std_ratio
ambagan_ctg,daily,T2M,Temperature at 2 m,deg C,1461,26.638800479123887,25.66800678758841,-0.9707936915354783,1.2762351699749033,1.5372309917080234,1.191905503948426,0.9570891258908186,0.9160195948984513,0.809362128127931,0.8564073568354211,-3.6442845551407737,1.1320962643767503
ambagan_ctg,daily,RH2M,Relative humidity at 2 m,%,1461,79.33778234086242,78.93151009582478,-0.40627224503764575,6.04888004791239,7.649822118474201,7.6390262015003705,0.7248278699278144,0.5253754410240927,0.4586798902602648,0.7240624100674129,-0.512079154534671,0.9801095534668057
ambagan_ctg,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,7.24394250513347,75.65954140999315,68.41559890485969,68.78634496919918,143.29399293560957,125.90660919078033,0.6957289018042438,0.4840387048057392,-43.658113455876425,-9.94531022529432,944.4525388816448,6.523420607443963
ambagan_ctg,daily,WS10M,Wind speed at 10 m,m/s,1461,1.6429671457905544,3.0356895961670087,1.3927224503764544,1.495853867214237,1.7446698044438493,1.0508077382449865,0.6825547345679375,0.4658809656811076,-0.6586317976267069,0.09299804273395196,84.76873405197105,0.9424915079155277
barisal,daily,T2M,Temperature at 2 m,deg C,1461,25.903422313483915,25.638829568788502,-0.26459274469541455,0.9792887291809266,1.2081181712264648,1.178787595414087,0.9644991551441225,0.9302586202737262,0.9257104029950411,0.9628299207081575,-1.0214586377556834,0.9958808940027952
barisal,daily,RH2M,Relative humidity at 2 m,%,1461,82.79089664613278,79.25650011407713,-3.5343965320556703,6.428779945242985,8.600164794270038,7.840336449591602,0.752794737233013,0.5666999164057211,-0.4840710288791148,0.30579900919091885,-4.269064202991409,1.6472882532409256
barisal,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,5.531622176591375,61.37310061601643,55.841478439425046,55.89969883641341,117.60441749224073,103.50134443275836,0.7775254585218003,0.6045458386495358,-46.73052597475177,-10.65718856751159,1009.495526931215,6.825154803737303
barisal,daily,WS10M,Wind speed at 10 m,m/s,1461,0.6301212476777158,3.0646147045402694,2.4344934568625534,2.4350187819823343,2.629580597963242,0.9939495609326144,0.6956723409987478,0.48396000603067796,-6.720724445080351,-2.9029240217285217,386.3531766044665,1.4618689079339924
bhola,daily,T2M,Temperature at 2 m,deg C,1461,26.1359257357974,25.80705395847593,-0.32887177732146966,0.927296942733288,1.1438830861219813,1.0955874537422223,0.9680081522617036,0.9370397828451175,0.931348172913035,0.9557392648094061,-1.2583130999298269,0.9721217078687372
bhola,daily,RH2M,Relative humidity at 2 m,%,1461,83.75521902806297,80.09171486424823,-3.6635041638147388,5.709387691079169,7.560332467777063,6.613423036902757,0.7621409526794808,0.5808588317511866,-0.40953361625906215,0.3769555934525938,-4.3740607526645565,1.574190008090514
bhola,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,6.001437371663243,74.51468856947295,68.51325119780972,68.58062970568105,145.28446577578873,128.11522316283165,0.7889911776483006,0.6225070784068523,-67.72874982057675,-12.431673966314728,1141.6140326866714,8.07368933807205
bhola,daily,WS10M,Wind speed at 10 m,m/s,1461,1.462696783025325,3.3282369381702033,1.8655401551448778,1.8794735341090578,2.109971070191941,0.9857676433059408,0.7541622549147434,0.5687607067380904,-1.605874571113699,-0.3048925442558539,127.54114022773356,1.1250364350374387
bogra,daily,T2M,Temperature at 2 m,deg C,1461,26.137910677618073,25.480459445585215,-0.6574512320328546,1.3405450034223136,1.6162761509894652,1.4765183621465066,0.9545414576583926,0.9111493943886089,0.8824211443222458,0.9273093851939616,-2.5153166989580042,1.0508405802430543
bogra,daily,RH2M,Relative humidity at 2 m,%,1461,76.12799452429843,74.47025325119782,-1.6577412731006163,8.586116814966918,10.868607528922304,10.741439544549202,0.7365136595563263,0.5424523707130521,-0.2204546370146565,0.35022858042232985,-2.177571185815884,1.5935517369805698
bogra,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,4.39876796714579,47.334503764544834,42.93573579739904,43.011409993155375,89.47744157488597,78.50309001767434,0.6698205066151606,0.4486595110821904,-45.45548829145258,-10.25973020061982,976.0854884386767,6.603411248412983
bogra,daily,WS10M,Wind speed at 10 m,m/s,1461,1.1877138945927448,2.770925450604609,1.583211556011864,1.6157828542094452,1.8579686767506094,0.9723624698109764,0.624849806104274,0.3904372801885488,-2.8096394659530453,-0.41350435490754633,133.2990683378956,1.2835361200755602
chandpur,daily,T2M,Temperature at 2 m,deg C,1461,26.54517453798768,25.59938027606662,-0.9457942619210591,1.403369552817705,1.695713415159981,1.4074506032080576,0.95250288951763,0.9072617545394344,0.8278555033476267,0.8720906769025021,-3.5629611723500734,1.113293204560195
chandpur,daily,RH2M,Relative humidity at 2 m,%,1461,80.87910677618069,77.97058493041295,-2.9085218457677393,6.843224104494638,8.80933730020277,8.315342707395507,0.7642538460019844,0.5840839411288249,-0.07225639278652607,0.44718763151903074,-3.596134974408883,1.4987304351503588
chandpur,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,5.698015058179329,55.47152635181382,49.7735112936345,49.83874058863792,103.91084717211855,91.21437240659948,0.7453260694494585,0.5555109498009789,-31.41472441186307,-8.921902513779528,873.5236882567751,5.698396246323903
chandpur,daily,WS10M,Wind speed at 10 m,m/s,1461,1.606690622861054,2.9432320898927675,1.3365414670317133,1.39983373260324,1.72782991450882,1.0950128402791777,0.5935319697320153,0.3522801990939659,-2.4731525269970462,-0.03292513194738711,83.18598789427907,1.457959834902448
chittagong,daily,T2M,Temperature at 2 m,deg C,1461,26.91812114989733,25.66800678758841,-1.250114362308921,1.4926674081679216,1.8270456768957213,1.3324075902711991,0.9481926710715437,0.8990693414737887,0.705161112588564,0.8027513464768284,-4.644136770718447,1.1845703967365542
chittagong,daily,RH2M,Relative humidity at 2 m,%,1461,77.9840006844627,78.93151009582478,0.9475094113620803,6.335839322381931,8.26761967406759,8.213145620918318,0.6869324124119061,0.47187613922204097,0.3860465088118712,0.6848353735514434,1.2150048767001247,0.9657976070838771
chittagong,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,7.735181382614647,75.65954140999315,67.92436002737851,68.02490759753593,141.6815043478301,124.33796680473455,0.7202414140880892,0.5187476945676104,-36.927074364600415,-9.14870137434663,878.1223951650724,6.0801555714593425
chittagong,daily,WS10M,Wind speed at 10 m,m/s,1461,4.825205338809035,3.0356895961670087,-1.789515742642026,2.387878736025553,2.7876997788739057,2.137499348296972,0.5607594880717526,0.314451203462494,-0.17316931984313033,0.23553101918903196,-37.08683085979751,0.4960780884096738
chuadanga,daily,T2M,Temperature at 2 m,deg C,1461,25.46177275838467,26.066391455624004,0.6046186972393335,1.3305655373032168,1.737251741944706,1.6286435600948803,0.9502415452856161,0.9029589943867956,0.8872721266867059,0.9446679875053398,2.374613515628954,0.9953257239827887
chuadanga,daily,RH2M,Relative humidity at 2 m,%,1461,79.96226899383984,71.93141598220399,-8.030853011635866,10.425404118183893,14.505947169246964,12.080062217657785,0.776001611255291,0.6021785006708078,-1.8669059345112378,-0.06576001921828634,-10.043303063666878,2.037102862189219
chuadanga,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,3.7457905544147847,35.9719780971937,32.226187542778916,32.25138945927447,69.4734353724528,61.54698253292372,0.678037362767696,0.45973466530897217,-33.51708704532665,-8.871985633129539,860.330738588605,5.830687572685798
chuadanga,daily,WS10M,Wind speed at 10 m,m/s,1461,0.586413415468857,2.8580803673283137,2.2716669518594568,2.2728248345881816,2.4544564413858456,0.929454508026096,0.6750234655085082,0.4556566789871162,-11.352077565677135,-2.9654495279465367,387.38318256978886,1.7826922747360374
comilla,daily,T2M,Temperature at 2 m,deg C,1461,25.798656741957565,25.069262206251427,-0.7293945357061379,1.276623032169747,1.5409609085222922,1.3574034525062455,0.9542980260789841,0.9106847225782454,0.8535176360518792,0.8772721894977983,-2.8272578026122166,1.110336333010228
comilla,daily,RH2M,Relative humidity at 2 m,%,1461,80.42701916495551,79.74354637234771,-0.6834727926078035,6.601376055213324,8.52329486282897,8.495847236179074,0.7239907786062848,0.5241626475069345,-0.3485840201028483,0.29050925916842885,-0.8498049532409045,1.6535470940839012
comilla,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,5.465913757700206,58.118350444900756,52.65243668720054,52.79924024640657,110.67581843307788,97.34915354912933,0.6956765983695463,0.48396592951902306,-44.60276938091902,-10.142459006179338,963.2870005134175,6.591922338140385
comilla,daily,WS10M,Wind speed at 10 m,m/s,1461,1.2610369609856262,2.660360768879763,1.3993238078941366,1.4182685945699292,1.5929376439017644,0.7611459899519664,0.7899369201364423,0.6240003377946481,-1.412432105131892,-0.1483683932008304,110.96612162742836,1.2080275320181697
cox_s_bazar,daily,T2M,Temperature at 2 m,deg C,1461,26.793908281998633,26.45685375313712,-0.3370545288615108,0.9335677618069816,1.1495477101965368,1.0990241956354034,0.9334812351901318,0.8713872164520942,0.8548783021721436,0.9322351394152328,-1.2579520886393396,0.9969857152571189
cox_s_bazar,daily,RH2M,Relative humidity at 2 m,%,1461,77.62577002053388,79.2397610084417,1.6139909879078256,4.9432626055213325,6.470977292626807,6.266464730024744,0.788287241383338,0.621396774927753,0.5935024485194054,0.6619197644067696,2.0791948182683226,0.7372384190402528
cox_s_bazar,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,8.697535934291581,123.85268309377138,115.1551471594798,115.41438056125942,280.17435285137697,255.4152698613895,0.6322953633581182,0.3997974265241747,-123.74788194542045,-15.46738954436708,1323.9973715481894,10.784825380121552
cox_s_bazar,daily,WS10M,Wind speed at 10 m,m/s,1461,2.3199007529089664,3.8155735227013454,1.4956727697923795,1.6616127652292951,2.0311318549095922,1.3742123481216695,0.599818259250625,0.35978194413045006,-0.6774957789866478,0.23997314263663538,64.47141188763906,0.9571152334054195
dhaka,daily,T2M,Temperature at 2 m,deg C,1461,26.911918206707735,25.543492185717547,-1.3684260209901897,1.666077743554643,1.9792036858756743,1.4299151916322912,0.9503006575039875,0.903071339652511,0.7739792558266442,0.8810401611254401,-5.084832714187994,1.0953722509297
dhaka,daily,RH2M,Relative humidity at 2 m,%,1461,71.81057494866529,76.85619096509241,5.045616016427105,8.64810460871549,10.368115762474647,9.057570506424419,0.7556782558343178,0.5710496263407967,0.16591478700586415,0.6694206155322049,7.026285501869366,1.2113119636167513
dhaka,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,5.300752908966461,56.378966461327856,51.0782135523614,51.26393566050651,106.57281645645217,93.53492025847892,0.6586417271493944,0.4338089247423373,-38.95459097063675,-9.93362233161576,963.602990548009,6.1550460211967755
dhaka,daily,WS10M,Wind speed at 10 m,m/s,1461,1.1744524298425736,2.7627928929956647,1.5883404631530913,1.61465919461556,1.8719893195465078,0.9907161983165614,0.6341205588429062,0.40210888314723964,-2.883115005255452,-0.4402707634585856,135.24093635414388,1.333917684493636
dinajpur,daily,T2M,Temperature at 2 m,deg C,1461,25.328755989048595,25.200635124344053,-0.12812086470454076,1.4892291238877482,1.799274628679789,1.7947072834972708,0.9412507844720122,0.8859530392691782,0.8800300453306747,0.9393587858761915,-0.5058316514239247,1.0141527368129772
dinajpur,daily,RH2M,Relative humidity at 2 m,%,1461,78.35326830937714,72.89452287246179,-5.458745436915355,10.752295516769337,14.539026834724382,13.475362687356188,0.704179779653703,0.49586916207313775,-1.7005794657961841,-0.09471236363820856,-6.966838211983131,2.051680499424339
dinajpur,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,4.708624229979466,43.91921971252567,39.210595482546196,39.294661190965094,85.10445030754391,75.53341422213974,0.6919878899888503,0.4788472398912212,-32.23270957119767,-8.595416644913534,832.739959007457,5.757264465719354
dinajpur,daily,WS10M,Wind speed at 10 m,m/s,1461,1.4805783709787816,2.705593486196669,1.2250151152178872,1.2737944900752909,1.490178821777192,0.8485109830526454,0.6448646704557658,0.4158504432020234,-2.159063299722517,0.048311109528821006,82.73895791197148,1.3082484814559072
faridpur,daily,T2M,Temperature at 2 m,deg C,1461,26.29189767282683,25.722600673054988,-0.5692969997718462,1.2738218685831622,1.5299231888265559,1.4200584106859804,0.9539989265380919,0.9101139518358318,0.8862090569229519,0.9325849359181326,-2.1652944449126825,1.044270103932535
faridpur,daily,RH2M,Relative humidity at 2 m,%,1461,78.4438740588638,76.51629591603924,-1.9275781428245493,7.536812114989734,9.722462136042807,9.529465488163078,0.7694046006535713,0.5919834395068815,-0.3088340401252361,0.27110789218182374,-2.457270457318448,1.6910178353919991
faridpur,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,4.057563312799453,51.019568788501026,46.96200547570158,47.04034907597537,101.26824728788942,89.72083342491474,0.7302678674449821,0.533291158222642,-59.06488170935302,-12.30777433679397,1157.3942747254603,7.562617744389216
faridpur,daily,WS10M,Wind speed at 10 m,m/s,1461,1.3667864476386038,2.8340252110426647,1.4672387634040613,1.5295733515856722,1.737063576557129,0.9298388463416478,0.7203486216977679,0.5189021367818739,-0.9553581299984444,-0.10932413059195678,107.34952529994786,1.0017536005386125
feni,daily,T2M,Temperature at 2 m,deg C,1461,25.698023613963038,25.073102041980377,-0.6249215719826606,1.175919176363222,1.4049214845777547,1.258283516024462,0.9604309963237004,0.9224276986993358,0.8854296970739471,0.9073764619576301,-2.431788457238046,1.0801377204409741
feni,daily,RH2M,Relative humidity at 2 m,%,1461,78.40494524298425,81.43636749942961,3.0314222564453575,5.880896360939996,7.178815376503679,6.507370383884215,0.7684690873748444,0.5905447382507263,0.13380576505015374,0.6045271136822892,3.8663661418941064,1.3182724644029156
feni,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,4.709514031485284,68.56231348391513,63.85279945242984,63.92373716632444,133.46000373310648,117.19382491636908,0.4874416211028092,0.2375993339833346,-73.89927565243863,-14.284135581599399,1355.8256547394121,8.036743833619315
feni,daily,WS10M,Wind speed at 10 m,m/s,1461,1.0781143052703628,2.8522045402692218,1.7740902349988592,1.7855914898471366,2.0054698863541653,0.935154160101468,0.6656879853729238,0.44314049386986204,-3.7266594719237744,-0.7156437883112639,164.55492950294948,1.3519042524252063
hatiya,daily,T2M,Temperature at 2 m,deg C,1461,26.114442162902126,26.327667978553503,0.21322581565137988,0.7310047342003193,0.9345627732881017,0.9099133633240868,0.9719838457899863,0.9447525964766919,0.9414286840072644,0.9467025443341376,0.8165053433700605,0.9554012804425943
hatiya,daily,RH2M,Relative humidity at 2 m,%,1339,85.14927184466019,78.68606422703512,-6.463207617625094,7.027815533980583,8.707936598851143,5.835675376602455,0.7363174334171138,0.5421633627539657,-0.5654659157492512,0.6409837148668451,-7.5904437907773,1.2315225979833881
hatiya,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,8.010746064339495,79.2221697467488,71.2114236824093,71.3214031485284,150.510082250556,132.59795622932324,0.6972608792722812,0.4861727337635547,-57.88276749402615,-9.96922269151743,888.9487085280723,7.419440383827019
hatiya,daily,WS10M,Wind speed at 10 m,m/s,1461,1.1733401779603012,4.1055119210586355,2.9321717430983347,2.9597470339949803,3.273639101393338,1.4557066446049687,0.6497292030973213,0.4221480373574802,-4.687535030401194,-1.5532576533704852,249.8995430460357,1.3891745776260027
ishurdi,daily,T2M,Temperature at 2 m,deg C,1461,25.652592402464066,25.983550935432355,0.3309585329682863,1.338599418206708,1.687512497629928,1.6547401243436015,0.9496742987815184,0.9018812737661688,0.893787820474358,0.9464489856047926,1.2901562843079204,1.0129840138566588
ishurdi,daily,RH2M,Relative humidity at 2 m,%,1461,78.86079739904176,71.26105778005932,-7.599739618982434,10.484494923568333,14.408089262307081,12.240792209423267,0.7796335969035948,0.607828545420837,-1.6834830686903488,-0.0504078192367885,-9.636904355058904,2.0225009743493074
ishurdi,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,3.767214236824093,35.54671457905544,31.77950034223134,31.847659137577,69.37839480640754,61.67191438500896,0.6550920682373782,0.42914561786752575,-32.755459252882524,-8.694254629745746,843.5809153509329,5.764109074163001
ishurdi,daily,WS10M,Wind speed at 10 m,m/s,1461,1.2959445585215605,2.8225481975815647,1.5266036390600044,1.5414570499657765,1.7412653772762159,0.8375478752343852,0.740263438772692,0.547989958783571,-3.0566943150697243,-0.2832677659930367,117.79852996192865,1.4377941432676236
jessore,daily,T2M,Temperature at 2 m,deg C,1461,26.22129534565366,25.91945328542094,-0.3018420602327177,1.2817342573579742,1.56201180672845,1.5325704731050855,0.9507420348475412,0.9039104168260432,0.8968177460225556,0.9488381060826757,-1.151133291676797,1.0076603833276163
jessore,daily,RH2M,Relative humidity at 2 m,%,1461,79.35232717316906,75.26671914214009,-4.0856080310289755,8.813637348847822,11.803920477719936,11.0743101663773,0.7687293845188876,0.5909448666227878,-1.4521106780216382,-0.11675989822429833,-5.148693398888014,2.091336642986644
jessore,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,4.303696098562628,46.264893908282,41.961197809719366,42.095078713210135,91.3338207005737,81.12413131823445,0.6836863114293793,0.46742697243591025,-44.85050381483616,-10.275048744697436,975.0037374556674,6.653621940002181
jessore,daily,WS10M,Wind speed at 10 m,m/s,1461,3.011599198200841,2.798087497148072,-0.21351170105276882,1.1997110589615723,1.5685083111828308,1.5539083228309094,0.7495090425884062,0.5617638049217893,0.5077411234001581,0.4693620570502879,-7.08964530141736,0.537609905271605
khepupara,daily,T2M,Temperature at 2 m,deg C,1461,26.373870636550308,26.237874743326486,-0.13599589322381986,0.8376431667807439,1.0478950854013802,1.0390328325104174,0.9685761602204667,0.9381397781474231,0.9363899278231461,0.9342960692164578,-0.515646319411871,0.9425286184153676
khepupara,daily,RH2M,Relative humidity at 2 m,%,1461,83.53122861054072,78.49871834360027,-5.032510266940452,6.453397786903947,8.471195197729672,6.8143223060827705,0.7628100026188965,0.581879100095441,-0.45596440890364076,0.45524815887526826,-6.024705191880063,1.4866885721755037
khepupara,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,7.989048596851472,77.18260095824778,69.1935523613963,69.2336618754278,155.2729752821701,139.00341421917707,0.7223344490907098,0.5217670563431792,-40.07214139872554,-9.219729818712759,866.1050376970528,6.417747297254057
khepupara,daily,WS10M,Wind speed at 10 m,m/s,1461,0.9386550308008214,3.13368012776637,2.1950250969655487,2.2473602555327403,2.4367161274604636,1.058040788210597,0.704645544767561,0.49652534376077284,-1.9265531935898448,-1.358269606249758,233.84790204478475,0.9243881460284544
khulna,daily,T2M,Temperature at 2 m,deg C,1461,26.763475359342916,25.91945328542094,-0.8440220739219716,1.5016144763860373,1.7667233464456384,1.5520754239432208,0.9495065332737026,0.9015626567294449,0.8416222425523167,0.8803747152914596,-3.153634057571414,1.1037597117510076
khulna,daily,RH2M,Relative humidity at 2 m,%,1461,79.07409308692677,75.26671914214009,-3.8073739447866752,8.948597421857174,12.226986124826407,11.619083154072744,0.7079154434395726,0.5011442750602467,-1.432782904904482,-0.05344970099172541,-4.814944814607231,2.0110017383672902
khulna,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,4.661054072553046,46.264893908282,41.603839835728955,41.611245722108144,89.51965180377508,79.26467416189978,0.7645642592973265,0.5845585065948695,-37.511208981060534,-9.34358952430938,892.5843637111221,6.221468148446721
khulna,daily,WS10M,Wind speed at 10 m,m/s,1461,0.8471937029431896,2.798087497148072,1.9508937942048827,1.9656833219256216,2.1010300132567896,0.7799618710800568,0.7861051201440452,0.6179612599166837,-2.1570676251417304,-1.3127425846678813,230.27718306066117,1.0164054708056949
kutubdia,daily,T2M,Temperature at 2 m,deg C,1461,26.70231861738535,25.794144706821815,-0.9081739105635415,1.1818916837782345,1.4232456199469814,1.0958322147436586,0.9520852235442991,0.906466272891398,0.80048185385429,0.8758239793107058,-3.401105063484065,1.1093942719987777
kutubdia,daily,RH2M,Relative humidity at 2 m,%,1461,79.66889117043121,81.06110654802647,1.3922153775952544,5.056051220625142,6.306609630356677,6.151021164985119,0.6273736074097832,0.3935976432743648,-0.042350874576709385,0.5520605808675609,1.7475018883053934,1.2479796735076192
kutubdia,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,7.739835728952773,130.29546201232031,122.55562628336757,122.62268993839835,303.5447077859306,277.7039936535619,0.6792169679598407,0.4613356895645592,-197.62243456702603,-19.20844001628899,1583.4396307006605,13.551893870287495
kutubdia,daily,WS10M,Wind speed at 10 m,m/s,1461,2.667778918548939,3.301527777777778,0.6337488592288386,0.9188087497148072,1.168573746309462,0.9817978325449067,0.6626237987697706,0.4390702986960815,-0.3136274767123075,0.5080488519108151,23.755673861218902,1.2678806205937023
m_court,daily,T2M,Temperature at 2 m,deg C,1461,26.342607802874745,25.073102041980377,-1.269505760894365,1.571020704996578,1.87222547937282,1.3760753499241256,0.9552068667271155,0.9124201582426335,0.7715890638589491,0.8412748855480194,-4.819210650647219,1.1444463846548634
m_court,daily,RH2M,Relative humidity at 2 m,%,1461,81.08761122518823,81.43636749942961,0.3487562742413873,5.615669917864477,7.090916246166909,7.082334521281178,0.7180666350829072,0.5156196924192891,0.12459113861724669,0.5569880153230466,0.43009809879940475,1.3416938657284903
m_court,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,7.047570157426421,68.56231348391513,61.5147433264887,61.67991786447639,126.69737021354493,110.76172611739254,0.7473319200201302,0.5585049986809743,-45.666263114247215,-9.418215907581189,872.8503860535134,6.682306036721385
m_court,daily,WS10M,Wind speed at 10 m,m/s,1461,1.4762149212867899,2.8522045402692218,1.375989618982432,1.5151214921286789,1.7314724879365255,1.0510230943864567,0.7117727418527307,0.506620436044554,-0.3902988533362821,0.012766327236204855,93.21065646613346,0.8492262475931404
madaripur,daily,T2M,Temperature at 2 m,deg C,1461,25.930715263518138,25.749172940908053,-0.18154232261008482,1.1721315309148985,1.4405819245937634,1.4290971508500068,0.9536746374739431,0.9094953141610568,0.89873221765147,0.9319483007395847,-0.7001053413497478,1.0493556461831954
madaripur,daily,RH2M,Relative humidity at 2 m,%,1461,81.8790212183436,77.25760922883869,-4.621411989504906,7.974825747205109,10.891476502747153,9.862393808460178,0.773713608095187,0.5986327473516726,-1.6936217735805754,-0.14213222076216359,-5.644195449260643,2.118067432812023
madaripur,daily,PRECTOTCORR,Precipitation,mm at obs hour,1461,4.941204654346338,53.154900752908965,48.213696098562636,48.27090349075976,105.71035014181308,94.07506383532339,0.7480388594612098,0.5595621352640276,-45.82177128289326,-10.354578271667451,975.7478078984916,6.801257178337282
