scale,variable,label,unit,n,bmd_mean,nasa_mean,bias,mae,rmse,ubrmse,pearson_r,r2,nse,kge,pbias_percent,std_ratio
3hour,T2M,Temperature at 2 m,deg C,405625,26.116509337442217,25.548100314329734,-0.5684090231124809,1.8028880123266569,2.268632475326221,2.1962705868241943,0.9193562319696633,0.8452158812614574,0.8219549032557993,0.9114865441926444,-2.1764356628532098,1.0292835673608256
3hour,RH2M,Relative humidity at 2 m,%,406091,79.50248589601838,77.25619348865158,-2.2462924073668216,10.331127235028601,13.96420409994614,13.782349820170683,0.7094421565284162,0.5033081734596898,0.3430386478536662,0.6951102428988716,-2.8254366917592444,1.0879522275579976
3hour,PRECTOTCORR,Precipitation,mm at obs hour,395173,0.7320651967619243,8.123249817168686,7.391184620406758,7.695959136884353,24.40194734484228,23.25565359493295,0.3008437653771092,0.09050697116627714,-32.99266316601819,-10.19035584141,1009.6347501697246,5.774831048522919
3hour,WS10M,Wind speed at 10 m,m/s,408524,1.372166629133172,2.781290523934947,1.4091238948017746,2.0373295326590357,2.4962650517748193,2.060511843647354,0.3878810152238228,0.15045168197106346,-0.45279255124589235,-0.21889615228982962,102.69335114875584,0.7624589687498893
