station_id,threshold_mm,hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,accuracy
ambagan_ctg,0.1,1408,7,4990,5283,0.995053003533569,0.7799312285089091,0.21982825917252147,4.521554770318021,0.5724674880219028
ambagan_ctg,5.0,489,22,4349,6828,0.9569471624266145,0.8989251756924349,0.10061728395061728,9.46771037181996,0.6260266940451745
ambagan_ctg,10.0,304,26,3837,7521,0.9212121212121213,0.9265877807292925,0.07295416366690664,12.548484848484849,0.6694900752908967
ambagan_ctg,25.0,90,17,2842,8739,0.8411214953271028,0.9693042291950886,0.030518819938962362,27.401869158878505,0.7553901437371663
barisal,0.1,1311,5,5389,4983,0.9962006079027356,0.8043283582089552,0.19552572706935123,5.091185410334346,0.5385010266940452
barisal,5.0,385,25,4455,6823,0.9390243902439024,0.9204545454545454,0.07913669064748201,11.804878048780488,0.6167008898015058
barisal,10.0,215,22,3880,7571,0.9071729957805907,0.9474969474969475,0.05222249210590236,17.27848101265823,0.6661533196440794
barisal,25.0,67,13,2647,8961,0.8375,0.975313190862196,0.02456912357902457,33.925,0.7724161533196441
bhola,0.1,1408,10,5705,4565,0.9929478138222849,0.802052579783495,0.19766952126912818,5.016220028208744,0.5110369609856262
bhola,5.0,438,15,4732,6503,0.9668874172185431,0.9152804642166344,0.08447444551591128,11.41280353200883,0.5938569472963724
bhola,10.0,252,11,4186,7239,0.9581749049429658,0.943217665615142,0.056641942009440324,16.874524714828897,0.6409137577002053
bhola,25.0,71,3,2981,8633,0.9594594594594594,0.9767365661861075,0.023240589198036007,41.24324324324324,0.7446954140999316
bogra,0.1,888,16,5296,5488,0.9823008849557522,0.8564036222509702,0.1432258064516129,6.84070796460177,0.5455167693360712
bogra,5.0,310,28,3857,7493,0.9171597633136095,0.925605951523878,0.07389749702026222,12.328402366863905,0.6676078028747433
bogra,10.0,174,25,3252,8237,0.8743718592964824,0.9492119089316988,0.05042016806722689,17.21608040201005,0.7196269678302533
bogra,25.0,51,13,2162,9462,0.796875,0.9769543605964753,0.022911051212938006,34.578125,0.813911704312115
chandpur,0.1,1047,12,5765,4864,0.9886685552407932,0.8463006459189665,0.15342907385697538,6.432483474976393,0.5057323750855578
chandpur,5.0,403,27,4301,6957,0.9372093023255814,0.9143282312925171,0.08518283660959627,10.93953488372093,0.6297056810403833
chandpur,10.0,219,27,3679,7763,0.8902439024390244,0.9438173422267829,0.055796178343949045,15.845528455284553,0.6829226557152636
chandpur,25.0,67,11,2433,9177,0.8589743589743589,0.9732,0.026682596575069693,32.05128205128205,0.7908966461327858
chittagong,0.1,1311,7,5087,5283,0.9946889226100152,0.7950922163175993,0.2046838407494145,4.854324734446131,0.5641683778234087
chittagong,5.0,536,21,4302,6829,0.9622980251346499,0.8892104175279041,0.11031076353159086,8.685816876122082,0.6301334702258727
chittagong,10.0,305,25,3836,7522,0.9242424242424242,0.926346293165902,0.07321171387421987,12.548484848484849,0.6696611909650924
chittagong,25.0,120,10,2812,8746,0.9230769230769231,0.9590723055934516,0.04078857919782461,22.553846153846155,0.7585557837097878
chuadanga,0.1,823,8,5493,5364,0.9903730445246691,0.8696960101329956,0.1301391524351676,7.6004813477737665,0.5293463381245722
chuadanga,5.0,291,28,3846,7523,0.9122257053291536,0.9296591733139956,0.06986794717887154,12.968652037617554,0.66854893908282
chuadanga,10.0,142,27,3049,8470,0.8402366863905325,0.9554998433093074,0.044126786824114354,18.881656804733726,0.7368240930869268
chuadanga,25.0,34,13,1751,9890,0.723404255319149,0.9809523809523809,0.018909899888765295,37.97872340425532,0.8490759753593429
comilla,0.1,1153,17,5585,4933,0.9854700854700855,0.8288809735826654,0.17068837897853442,5.758974358974359,0.5207049965776865
comilla,5.0,376,29,4254,7029,0.928395061728395,0.9187904967602591,0.0807040137368534,11.432098765432098,0.6335557837097878
comilla,10.0,213,19,3610,7846,0.9181034482758621,0.9442845932513733,0.055439875065070275,16.478448275862068,0.6895106091718002
comilla,25.0,65,19,2456,9148,0.7738095238095238,0.9742165807219357,0.025590551181102362,30.011904761904763,0.7882443531827515
cox_s_bazar,0.1,1428,0,5789,4471,1.0,0.8021338506304558,0.19786614936954414,5.053921568627451,0.5047056810403833
cox_s_bazar,5.0,635,10,4995,6048,0.9844961240310077,0.8872113676731794,0.1125886524822695,8.728682170542635,0.5717830253251198
cox_s_bazar,10.0,382,8,4655,6643,0.9794871794871794,0.924161207067699,0.07571853320118929,12.915384615384616,0.6010438056125941
cox_s_bazar,25.0,130,6,3624,7928,0.9558823529411765,0.9653702717101759,0.034574468085106384,27.602941176470587,0.6894250513347022
dhaka,0.1,1214,25,5612,4837,0.9798224374495561,0.8221506006445942,0.17720040869945994,5.509281678773204,0.5177104722792608
