threshold_mm,hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,accuracy
0.1,37762,685,179824,190809,0.9821832652742737,0.8264502311729615,0.17300511749155867,5.659375243842172,0.5587440109514031
5.0,13010,2163,103956,289951,0.8574441442035194,0.8887710958740147,0.1092093444921052,7.708824886311211,0.7405910824288647
10.0,6897,2012,74730,325441,0.7741609608261308,0.9155058987834908,0.08246153110391086,9.162307778650803,0.8124034418695609
25.0,1815,1063,35388,370814,0.6306462821403752,0.9512136118054996,0.04743113991532954,12.926685198054205,0.9108951794270069
