scale,variable,label,unit,n,bmd_mean,nasa_mean,bias,mae,rmse,ubrmse,pearson_r,r2,nse,kge,pbias_percent,std_ratio
3hour,T2M,Temperature at 2 m,deg C,405625,26.116509337442217,25.570094068823835,-0.5464152686183876,2.0535090785824344,2.59878218447582,2.5406887248479704,0.890086713266963,0.7922543571343847,0.7663630703386326,0.8871337258349229,-2.092221673112392,1.0148366468753365
3hour,RH2M,Relative humidity at 2 m,%,406091,79.50248589601838,77.23468394194073,-2.2678019540776164,11.128289595189258,14.967455618008284,14.79465450675106,0.6553811781858027,0.4295244887202108,0.2452495093896565,0.6483346853434502,-2.852491879365488,1.0639741368968743
3hour,PRECTOTCORR,Precipitation,mm at obs hour,395173,0.7320651967619243,8.123249817168686,7.391184620406758,7.695959136884353,24.40194734484228,23.25565359493295,0.3008437653771092,0.09050697116627714,-32.99266316601819,-10.19035584141,1009.6347501697246,5.774831048522919
3hour,WS10M,Wind speed at 10 m,m/s,408524,1.372166629133172,2.7854022611482634,1.4132356320150918,2.042972538537107,2.5012198668578307,2.063701982062141,0.3814768292738185,0.14552457127280605,-0.458565545888858,-0.2264001978461987,102.99300405723056,0.7535641177126272
