source_file,wmo_stations,decoded_rows,nil_rows,parse_skipped
data\raw\ground_ogimet\ogimet_getsynop_Bang_202408300000_202409052359.csv,47,2066,106,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202409060000_202409122359.csv,47,2024,86,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202409130000_202409192359.csv,47,2122,92,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202409200000_202409262359.csv,47,2078,62,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202409270000_202410032359.csv,47,2083,107,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202410040000_202410102359.csv,47,2096,76,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202410110000_202410172359.csv,47,2080,105,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202410180000_202410242359.csv,47,2166,78,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202410250000_202410312359.csv,47,2278,148,1
data\raw\ground_ogimet\ogimet_getsynop_Bang_202411010000_202411072359.csv,47,2280,87,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202411080000_202411142359.csv,47,2334,143,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202411150000_202411212359.csv,47,2251,146,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202411220000_202411282359.csv,47,2291,130,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202411290000_202412052359.csv,47,2311,97,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202412060000_202412122359.csv,47,2226,168,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202412130000_202412192359.csv,47,2229,110,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202412200000_202412262359.csv,47,2038,137,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202412270000_202412312300.csv,47,972,87,0
