ESTACION,ANO,MES,DIA,HORA,MINUTO,PARTE
41850,2023,04,28,00,00,AAXX 28004 41850 31940 00000 10191 20180 39998 40100 70500 333 58015 70000=
41850,2023,04,28,06,00,AAXX 28064 41850 31456 61503 10305 20210 39997 40094 70520 82510 333 56990 59003 70000 82616 86459=
41850,2023,04,28,12,00,AAXX 28124 41850 32450 51602 10303 20190 39952 40049 82520 333 10328 56990 59006 70000 82617 85458=
41850,2023,04,28,18,00,AAXX 28184 41850 31440 62503 10238 20200 39971 40071 70522 82510 333 56990 59020 70000 82617 86458=
41850,2023,04,29,00,00,AAXX 29004 41850 31440 71304 10218 20200 39980 40081 70522 83520 333 56990 59018 70000 83617 87458=
41850,2023,04,29,06,00,AAXX 29064 41850 32456 51204 10285 20200 39996 40094 82520 333 56990 59001 70000 82617 85458=
41850,2023,04,29,12,00,AAXX 29124 41850 32450 50000 10276 20220 39957 40055 82510 333 10306 56990 58005 70000 82617 85458=
41850,2023,04,29,18,00,AAXX 29184 41850 31440 71503 10233 20200 39981 40081 70522 83520 333 56990 58010 70000 83617 87458=
41850,2023,04,30,00,00,AAXX 30004 41850 11440 51003 10205 20200 39981 40082 60025 70562 82520 333 56990 58001 70020 82617 85458=
41850,2023,04,30,06,00,AAXX 30064 41850 32456 51803 10294 20190 39982 40080 82510 333 56990 59014 70020 82617 85458=
41850,2023,04,30,12,00,AAXX 30124 41850 NIL=
41850,2023,04,30,18,00,AAXX 30184 41850 11440 80000 10240 20230 39977 40077 69965 70596 8432/ 333 56999 59004 70026 83616 81928 88458=
41850,2023,05,01,00,00,AAXX 01004 41850 31940 40000 10205 20200 39979 40080 70521 84030 333 56090 59002 70006 84362=
41850,2023,05,01,06,00,AAXX 01064 41850 32456 62002 10288 20190 39995 40093 83520 333 56990 58013 70006 83617 86458=
41850,2023,05,01,12,00,AAXX 01124 41850 31450 70000 10261 20210 39980 40079 70522 83520 333 10298 56990 58024 70006 83617 87458=
41850,2023,05,01,18,00,AAXX 01184 41850 31440 50000 10224 20210 39991 40092 70522 82510 333 56990 58014 70000 82617 85458=
41850,2023,05,02,00,00,AAXX 02004 41850 31406 50000 10200 20200 39987 40088 74642 82520 333 56990 58008 70000 82617 85458=
41850,2023,05,02,06,00,AAXX 02064 41850 31450 62003 10285 20190 30003 40101 70542 83520 333 56990 58008 70000 83617 86458=
41850,2023,05,02,12,00,AAXX 02124 41850 32950 40000 10270 20200 39978 40076 84030 333 10308 56090 59002 70000 84362=
41850,2023,05,03,00,00,AAXX 03004 41850 31940 30000 10201 20190 39995 40096 70521 84030 333 56090 58008 70000 83362=
41850,2023,05,03,06,00,AAXX 03064 41850 NIL=
41850,2023,05,03,12,00,AAXX 03123 41850 31950 40908 10300 20200 39960 40057 70522 84030 333 10339 59090 59018 70000 84362=
41850,2023,05,03,18,00,AAXX 03184 41850 NIL=
41850,2023,05,04,00,00,AAXX 04004 41850 11430 80000 10217 20200 39989 40089 60015 70562 8252/ 333 56999 59006 70010 82618 88458=
41850,2023,05,04,06,00,AAXX 04064 41850 32956 40911 10285 20200 39998 40096 84500 333 56900 59006 70010 84618=
41850,2023,05,04,12,00,AAXX 04124 41850 11450 81815 10212 20200 39971 40072 60207 79596 8592/ 333 10319 56999 58011 70210 84616 81928 88458=
41850,2023,05,04,18,00,AAXX 04184 41850 31430 61805 10205 20200 39979 40080 70522 82520 333 56990 59010 70210 82618 86458=
41851,2023,04,28,00,00,AAXX 28004 41851 31930 10000 10207 20207 30035 40099 70500 81500 333 56900 58010 70000 81618=
41851,2023,04,28,06,00,AAXX 28064 41851 32950 00000 10308 20220 30035 40097 333 59002 70000=
41851,2023,04,28,12,00,AAXX 28124 41851 31445 30000 10305 20220 39990 40052 70521 82530 333 10345 56990 59003 70000 82618=
41851,2023,04,28,18,00,AAXX 28184 41851 31940 00000 10248 20220 30010 40073 70510 333 59021 70000=
41851,2023,04,29,00,00,AAXX 29004 41851 31440 82602 10228 20200 30022 40085 70520 8352/ 333 56599 59013 70000 83618 88458=
41851,2023,04,29,06,00,AAXX 29064 41851 32450 62001 10306 20190 30035 40097 83510 333 56990 58000 70000 83618 85459=
41851,2023,04,29,12,00,AAXX 29124 41851 32450 80000 10283 20220 39991 40053 8352/ 333 10320 56999 58001 70000 83618 88458=
41851,2023,04,29,18,00,AAXX 29184 41851 32450 50902 10240 20200 30021 40084 83510 333 56990 58011 70000 83618 84459=
41851,2023,04,30,00,00,AAXX 30004 41851 11350 80902 10202 20200 30019 40083 60014 70296 8562/ 333 56499 59003 70010 81710 84616 88458=
41851,2023,04,30,06,00,AAXX 30064 41851 32450 50903 10306 20210 30023 40085 83510 333 56990 59012 70010 83618 84459=
41851,2023,04,30,12,00,AAXX 30124 41851 32450 80000 10292 20220 39989 40051 8352/ 333 10314 56999 59002 70010 83618 88458=
41851,2023,04,30,18,00,AAXX 30184 41851 11450 80000 10205 20200 30020 40084 60109 70296 8352/ 333 56999 59001 70116 83618 88458=
41851,2023,05,01,00,00,AAXX 01004 41851 31440 80000 10210 20200 30014 40078 70522 8352/ 333 56999 59005 70106 83618 88458=
41851,2023,05,01,06,00,AAXX 01064 41851 32450 81802 10295 20210 30037 40099 8352/ 333 56999 58014 70106 83618 88458=
41851,2023,05,01,12,00,AAXX 01124 41851 32350 82102 10262 20230 30021 40084 8462/ 333 10302 56699 58032 70106 81709 83617 88457=
41851,2023,05,01,18,00,AAXX 01184 41851 32450 40000 10235 20230 30031 40095 81510 333 56990 58011 70000 81618 84459=
41851,2023,05,02,00,00,AAXX 02004 41851 31/05 90000 10210 20200 30023 40087 74521 89/// 333 56999 58009 70000=
41851,2023,05,02,06,00,AAXX 02064 41851 31450 51802 10325 20200 30044 40106 70242 82530 333 56990 58007 70000 82618 84362=
41851,2023,05,02,12,00,AAXX 02124 41851 11450 62102 10220 20190 30016 40080 60054 72996 83320 333 10333 56990 59005 70052 82617 81929 86458=
41851,2023,05,03,00,00,AAXX 03004 41851 31435 60000 10205 20190 30038 40102 70521 82520 333 56990 58015 70052 82618 86458=
41851,2023,05,03,06,00,AAXX 03064 41851 32450 52301 10313 20200 30048 40110 82530 333 56990 58004 70052 82618 84362=
41851,2023,05,03,12,00,AAXX 03123 41851 32450 80000 10300 20240 39999 40061 8352/ 333 10325 56999 59017 70000 83618 88458=
41851,2023,05,03,18,00,AAXX 03184 41851 32440 80000 10254 20240 30032 40095 70522 8352/ 333 56999 59005 70000 83618 88458=
41851,2023,05,04,00,00,AAXX 04004 41851 11340 80000 10228 20220 30024 40087 60034 72162 8462/ 333 56699 59014 70026 81709 83617 88456=
41851,2023,05,04,06,00,AAXX 04064 41851 31445 80000 10294 20230 30043 40106 70522 8352/ 333 56999 59005 70000 83618 88458=
41851,2023,05,04,12,00,AAXX 04124 41851 31445 70000 10275 20240 30000 40062 70500 83520 333 10311 56990 58001 70026 83618 86458=
41851,2023,05,04,18,00,AAXX 04184 41851 31945 00000 10205 20200 30019 40083 70520 333 59013 70026=
41856,2023,04,28,00,00,AAXX 28004 41856 31930 20000 10206 20200 30066 40102 70511 82030 333 56090 58015 70000 82362=
