ESTACION,ANO,MES,DIA,HORA,MINUTO,PARTE
41850,2024,04,26,00,00,AAXX 26004 41850 31930 00902 10231 20180 39935 40034 70500 333 58015 70000=
41850,2024,04,26,06,00,AAXX 26064 41850 32957 00904 10325 20190 39951 40047 333 58004 70000=
41850,2024,04,26,12,00,AAXX 26124 41850 32956 00403 10312 20210 39916 40012 333 10357 58004 70000=
41850,2024,04,26,18,00,AAXX 26184 41850 32940 00000 10250 20220 39940 40038 333 58003 70000=
41850,2024,04,27,00,00,AAXX 27004 41850 31950 40904 10244 20180 39944 40043 70510 84030 333 56090 58009 70000 84362=
41850,2024,04,27,12,00,AAXX 27124 41850 32950 30000 10308 20240 39928 40024 83030 333 10330 56090 58012 70000 83362=
41850,2024,04,27,18,00,AAXX 27184 41850 31940 40000 10263 20240 39934 40032 70521 84030 333 56090 59006 70000 84362=
41850,2024,04,28,00,00,AAXX 28004 41850 31440 20000 10232 20220 39934 40033 70510 82500 333 56900 59010 70000 82618=
41850,2024,04,28,06,00,AAXX 28064 41850 32457 21802 10341 20200 39937 40032 82500 333 56900 59021 70000 82618=
41850,2024,04,28,12,00,AAXX 28124 41850 32956 01802 10352 20090 39898 49993 333 10378 59030 70000=
41850,2024,04,28,18,00,AAXX 28184 41850 32940 00000 10262 20220 39937 40035 333 58003 70000=
41850,2024,04,29,00,00,AAXX 29004 41850 31950 01602 10230 20200 39951 40050 70500 333 58017 70000=
41850,2024,04,29,06,00,AAXX 29064 41850 32957 31803 10321 20210 39957 40053 83010 333 56090 58020 70000 84360=
41850,2024,04,29,12,00,AAXX 29124 41850 32956 01502 10318 20220 39912 40008 333 10348 58014 70000=
41850,2024,04,29,18,00,AAXX 29184 41850 32940 00802 10256 20240 39926 40024 333 59011 70000=
41850,2024,04,30,00,00,AAXX 30004 41850 31950 01003 10243 20200 39913 40011 70500 333 59038 70000=
41850,2024,04,30,06,00,AAXX 30064 41850 32957 00404 10332 20210 39907 40002 333 59050 70000=
41850,2024,04,30,12,00,AAXX 30124 41850 32950 01003 10322 20210 39867 49962 333 10360 59045 70000=
41850,2024,04,30,18,00,AAXX 30184 41850 32940 00000 10268 20230 39887 49984 333 59039 70000=
41850,2024,05,01,00,00,AAXX 01004 41850 31950 00902 10238 20220 39891 49989 70500 333 59022 70000=
41850,2024,05,01,06,00,AAXX 01064 41850 32957 00803 10337 20220 39897 49992 333 59010 70000=
41850,2024,05,01,12,00,AAXX 01124 41850 32956 01803 10332 20120 39868 49963 333 10370 58001 70000=
41850,2024,05,01,18,00,AAXX 01184 41850 32940 00000 10244 20190 39886 49984 333 59001 70000=
41850,2024,05,02,00,00,AAXX 02004 41850 31950 01601 10200 20190 39892 49992 70500 333 58001 70000=
41850,2024,05,02,06,00,AAXX 02064 41850 32957 01806 10360 20030 39901 49995 333 58004 70000=
41850,2024,05,02,12,00,AAXX 02124 41850 32956 01302 10325 20020 39889 49984 333 10383 58021 70000=
41850,2024,05,02,18,00,AAXX 02184 41850 32940 00000 10251 20140 39921 40019 333 58035 70000=
41851,2024,04,26,00,00,AAXX 26004 41851 31940 00902 10220 20210 39976 40040 70500 333 58014 70000=
41851,2024,04,26,06,00,AAXX 26064 41851 32950 01801 10340 20200 39988 40049 333 58003 70000=
41851,2024,04,26,12,00,AAXX 26124 41851 32950 00000 10326 20240 39951 40012 333 10370 58002 70000=
41851,2024,04,26,18,00,AAXX 26184 41851 32950 00000 10255 20230 39971 40034 333 58001 70000=
41851,2024,04,27,00,00,AAXX 27004 41851 32450 50904 10236 20180 39985 40048 81510 333 56990 58009 70000 81618 85459=
41851,2024,04,27,12,00,AAXX 27124 41851 32450 70000 10307 20260 39962 40023 83520 333 10328 56990 58011 70000 83618 87458=
41851,2024,04,27,18,00,AAXX 27184 41851 32450 40000 10257 20250 39974 40037 81510 333 56990 58003 70000 81618 84459=
41851,2024,04,28,00,00,AAXX 28004 41851 31940 20000 10238 20230 39968 40031 70521 82030 333 56090 59017 70000 82362=
41851,2024,04,28,06,00,AAXX 28064 41851 32450 31801 10344 20230 39974 40035 81530 333 56990 59026 70000 81618 83362=
41851,2024,04,28,12,00,AAXX 28124 41851 32450 20000 10340 20220 39938 49999 81530 333 10375 56990 59024 70000 81518=
41851,2024,04,28,18,00,AAXX 28184 41851 32450 21801 10248 20220 39975 40038 81530 333 56990 58001 70000 81618=
41851,2024,04,29,00,00,AAXX 29004 41851 31445 10902 10218 20210 39987 40051 70511 81500 333 56900 58019 70000 81618=
41851,2024,04,29,06,00,AAXX 29064 41851 32950 00902 10336 20220 39995 40056 333 58021 70000=
41851,2024,04,29,12,00,AAXX 29124 41851 32950 00000 10326 20240 39949 40010 333 10368 58011 70000=
41851,2024,04,29,18,00,AAXX 29184 41851 32950 00901 10257 20220 39959 40022 333 59016 70000=
41851,2024,04,30,00,00,AAXX 30004 41851 31940 00901 10235 20220 39947 40010 70500 333 59040 70000=
41851,2024,04,30,06,00,AAXX 30064 41851 32950 00000 10338 20220 39948 40009 333 59047 70000=
41851,2024,04,30,12,00,AAXX 30124 41851 32950 00000 10325 20250 39903 49964 333 10366 59046 70000=
41851,2024,04,30,18,00,AAXX 30184 41851 32950 00902 10268 20230 39927 49989 333 59032 70000=
41851,2024,05,01,00,00,AAXX 01004 41851 31945 00901 10235 20220 39931 49994 70500 333 59016 70000=
41851,2024,05,01,06,00,AAXX 01064 41851 32950 00000 10326 20220 39940 40001 333 59008 70000=
41851,2024,05,01,12,00,AAXX 01124 41851 32450 20000 10335 20200 39906 49966 82400 333 10368 56900 58003 70000 81618=
41851,2024,05,01,18,00,AAXX 01184 41851 32950 00901 10232 20180 39929 49992 333 58002 70000=
41851,2024,05,02,00,00,AAXX 02004 41851 32450 60501 10221 20140 39931 49994 83530 333 56690 58000 70000 83618 85362=
41851,2024,05,02,06,00,AAXX 02064 41851 32950 01301 10352 20100 39942 40003 333 58002 70000=
41851,2024,05,02,12,00,AAXX 02124 41851 32950 00000 10330 20140 39924 49985 333 10376 58018 70000=
41851,2024,05,02,18,00,AAXX 02184 41851 32950 00501 10216 20090 39957 40020 333 58028 70000=
41856,2024,04,26,00,00,AAXX 26004 41856 32940 00000 10224 20210 30003 40039 333 58009 70000=
41856,2024,04,26,06,00,AAXX 26064 41856 32950 01103 10345 20240 30012 40046 333 59001 70000=
41856,2024,04,26,12,00,AAXX 26124 41856 32956 00000 10342 20220 39978 40012 333 10385 58001 70000=
41856,2024,04,26,18,00,AAXX 26184 41856 32930 00901 10264 20210 39996 40031 333 59002 70000=
41856,2024,04,27,00,00,AAXX 27004 41856 32930 10502 10240 20200 30008 40044 81030 333 56090 58005 70000 81362=
41856,2024,04,27,12,00,AAXX 27124 41856 32950 40501 10310 20250 39987 40022 84030 333 10342 56090 58009 70000 84362=
41856,2024,04,27,18,00,AAXX 27184 41856 32930 00000 10255 20240 39994 40029 333 59002 70000=
41856,2024,04,28,00,00,AAXX 28004 41856 32430 50000 10240 20230 39992 40029 82530 333 56990 59016 70000 82618 85362=
41856,2024,04,28,06,00,AAXX 28064 41856 32958 01804 10362 20220 30004 40038 333 59020 70000=
41856,2024,04,28,12,00,AAXX 28124 41856 32956 21802 10354 20190 39964 49998 82030 333 10386 56090 59023 70000 82362=
41856,2024,04,28,18,00,AAXX 28184 41856 32930 20000 10275 20240 30004 40039 82030 333 56090 58010 70000 82362=
41856,2024,04,29,00,00,AAXX 29004 41856 32940 30901 10230 20210 30012 40048 83030 333 56090 58020 70000 83362=
41856,2024,04,29,06,00,AAXX 29064 41856 32956 00000 10336 20210 30022 40056 333 58018 70000=
41856,2024,04,29,12,00,AAXX 29124 41856 32956 00000 10346 20220 39978 40012 333 10381 58014 70000=
41856,2024,04,29,18,00,AAXX 29184 41856 32930 00000 10246 20230 39986 40022 333 59018 70000=
41856,2024,04,30,00,00,AAXX 30004 41856 32940 00501 10235 20220 39979 40015 333 59033 70000=
41856,2024,04,30,06,00,AAXX 30064 41856 32956 00902 10356 20190 39974 40008 333 59048 70000=
41856,2024,04,30,12,00,AAXX 30124 41856 32956 00000 10340 20230 39932 49966 333 10390 59046 70000=
41856,2024,04,30,18,00,AAXX 30184 41856 32950 00000 10254 20210 39953 49988 333 59033 70000=
41856,2024,05,01,00,00,AAXX 01004 41856 32950 00000 10234 20210 39958 49994 333 59021 70000=
41856,2024,05,01,06,00,AAXX 01064 41856 32956 02301 10341 20240 39962 49996 333 59012 70000=
41856,2024,05,01,12,00,AAXX 01124 41856 32956 00000 10323 20200 39935 49970 333 10382 58003 70000=
41856,2024,05,01,18,00,AAXX 01184 41856 32950 00000 10241 20220 39958 49993 333 58005 70000=
41856,2024,05,02,00,00,AAXX 02004 41856 32450 50000 10233 20210 39950 49986 84430 333 56990 59008 70000 83618 82458=
41856,2024,05,02,06,00,AAXX 02064 41856 32956 31802 10350 20120 39975 40009 83030 333 56090 58013 70000 83362=
41856,2024,05,02,12,00,AAXX 02124 41856 32956 00000 10333 20190 39952 49986 333 10381 58017 70000=
41856,2024,05,02,18,00,AAXX 02184 41856 32940 01202 10210 20150 39988 40024 333 58030 70000=
41858,2024,04,26,00,00,AAXX 26004 41858 01940 00000 10220 20180 39993 40039 70500 333 58005 70000==
41858,2024,04,26,03,00,AAXX 26034 41858 01950 00905 10300 20160 30013 40058 70500 333 20210 58002 70000==
41858,2024,04,26,06,00,AAXX 26064 41858 01950 00000 10356 20160 30006 40050 70500 333 58002 70000==
41858,2024,04,26,09,00,AAXX 26094 41858 01950 02705 10392 20150 39976 40020 70500 333 58000 70000==
41858,2024,04,26,12,00,AAXX 26124 41858 01950 00000 10350 20170 39969 40012 70500 333 10396 58001 70000==
41858,2024,04,26,15,00,AAXX 26154 41858 01950 00000 10280 20200 39986 40031 70500 333 58002 70000==
41858,2024,04,26,18,00,AAXX 26184 41858 01940 00000 10241 20190 39996 40042 70500 333 58006 70000==
41858,2024,04,26,21,00,AAXX 26214 41858 01940 00905 10250 20220 39998 40044 70500 333 58013 70000==
41858,2024,04,27,00,00,AAXX 27004 41858 01/50 30905 10250 20220 30000 40046 70520 83040 333 58007 70000 83362==
41858,2024,04,27,09,00,AAXX 27094 41858 01450 50905 10346 20240 39984 40028 70522 83520 333 58008 70000 83615 84458==
41858,2024,04,27,12,00,AAXX 27124 41858 01/50 30305 10328 20250 39978 40022 70522 83030 333 10350 58009 70000 83362==
41858,2024,04,27,15,00,AAXX 27154 41858 01/50 20305 10284 20230 39993 40038 70511 82030 333 58007 70000 82362==
41858,2024,04,27,18,00,AAXX 27184 41858 01/40 20305 10254 20230 39997 40043 70511 82030 333 58001 70000 82362==
41858,2024,04,27,21,00,AAXX 27214 41858 01/30 20000 10250 20220 39995 40041 70500 82030 333 59003 70000 82362==
41858,2024,04,28,00,00,AAXX 28004 41858 01420 30000 10275 20240 30001 40046 71000 82520 333 58001 70000 82616 83458==
41858,2024,04,28,03,00,AAXX 28034 41858 01430 30000 10310 20250 30004 40049 70500 82520 333 20250 59018 70000 82616 83458==
41858,2024,04,28,06,00,AAXX 28064 41858 01440 31806 10360 20230 39995 40039 70500 82520 333 59020 70000 82616 83458==
41858,2024,04,28,09,00,AAXX 28094 41858 01950 01805 10395 20210 39974 40018 70500 333 59010 70000==
41858,2024,04,28,12,00,AAXX 28124 41858 01950 02105 10354 20180 39956 49999 70500 333 10402 59022 70000==
41858,2024,04,28,15,00,AAXX 28154 41858 01940 01805 10295 20210 39986 40031 70500 333 59007 70000==
41858,2024,04,28,18,00,AAXX 28184 41858 01940 01804 10274 20210 39998 40043 70500 333 58001 70000==
41858,2024,04,28,21,00,AAXX 28214 41858 01925 01802 10262 20220 39998 40044 71000 333 58003 70000==
41858,2024,04,29,00,00,AAXX 29004 41858 01915 00602 10254 20230 30002 40048 71000 333 58001 70000==
41858,2024,04,29,03,00,AAXX 29034 41858 01940 00905 10284 20220 30018 40063 70540 333 20240 58014 70000==
41858,2024,04,29,06,00,AAXX 29064 41858 01950 02705 10350 20180 30015 40059 70540 333 58020 70000==
41858,2024,04,29,09,00,AAXX 29094 41858 01950 01802 10382 20180 39979 40023 70500 333 58005 70000==
41858,2024,04,29,12,00,AAXX 29124 41858 01950 00902 10354 20190 39968 40011 70500 333 10388 58012 70000==
41858,2024,04,29,15,00,AAXX 29151 41858 01940 01201 10302 20220 39979 40024 70500 333 59007 70000==
41858,2024,04,29,18,00,AAXX 29184 41858 01940 00000 10280 20240 39996 40041 70500 333 59002 70000==
41858,2024,04,29,21,00,AAXX 29214 41858 01930 00000 10266 20240 39976 40021 70500 333 59022 70000==
41858,2024,04,30,00,00,AAXX 30004 41858 01920 00000 10248 20230 39963 40009 71000 333 59039 70000==
41858,2024,04,30,03,00,AAXX 30034 41858 01940 01005 10305 20220 39981 40025 70500 333 20235 59020 70000==
41858,2024,04,30,06,00,AAXX 30064 41858 01950 01805 10354 20170 39965 40008 70500 333 59050 70000==
41858,2024,04,30,09,00,AAXX 30094 41858 01950 02405 10392 20200 39930 49974 70500 333 59049 70000==
41858,2024,04,30,12,00,AAXX 30124 41858 01950 02405 10360 20190 39918 49962 70500 333 10395 59050 70000==
41858,2024,04,30,18,00,AAXX 30184 41858 01940 01004 10265 20230 39953 49998 70500 333 59043 70000==
41858,2024,04,30,21,00,AAXX 30214 41858 01430 30000 10262 20230 39954 49999 70500 83500 333 59022 70000 83616==
41858,2024,05,01,00,00,AAXX 01004 41858 01415 50000 10265 20250 39951 49996 71022 83520 333 59012 70000 83616 85458==
41858,2024,05,01,03,00,AAXX 01034 41858 01940 00904 10296 20230 39969 40013 70520 333 20238 59012 70000==
41858,2024,05,01,06,00,AAXX 01064 41858 01950 02406 10356 20180 39959 40002 70500 333 59066 70000==
41858,2024,05,01,09,00,AAXX 01094 41858 01950 02705 10390 20130 39936 49977 70500 333 58006 70000==
41858,2024,05,01,12,00,AAXX 01124 41858 01950 01805 10350 20160 39926 49969 70500 333 10390 58008 70000==
41858,2024,05,01,15,00,AAXX 01154 41858 01940 02105 10280 20170 39946 49991 70500 333 58007 70000==
41858,2024,05,01,18,00,AAXX 01184 41858 01940 00000 10260 20190 39951 49996 70500 333 59002 70000==
41858,2024,05,01,21,00,AAXX 01214 41858 41440 82105 10260 20190 39949 49994 70562 8452/ 333 59005 84615 88458==
41858,2024,05,02,00,00,AAXX 02004 41858 41450 62105 10254 20180 39944 49990 70562 83520 333 59007 83615 86458==
41858,2024,05,02,03,00,AAXX 02034 41858 41450 30804 10314 20100 39972 40016 70522 83500 333 20240 58003 83615==
41858,2024,05,02,06,00,AAXX 02064 41858 41950 02705 10370 20080 39966 40006 70520 333 58007==
41858,2024,05,02,09,00,AAXX 02094 41858 01950 01807 10387 20120 39942 49986 70500 333 58006 70000==
41858,2024,05,02,12,00,AAXX 02124 41858 42950 02705 10395 20130 39946 49989 58020==
41858,2024,05,02,15,00,AAXX 02154 41858 01940 02705 10270 20140 39970 40015 70500 333 58024 70000==
41858,2024,05,02,18,00,AAXX 02184 41858 41940 02705 10242 20140 39981 40027 70500 333 58030==
41858,2024,05,02,21,00,AAXX 02214 41858 01430 42304 10240 20210 39994 40040 70520 82520 333 58045 70000 82616 84458==
41859,2024,04,26,00,00,AAXX 26004 41859 02/40 21302 10241 20200 30000 40037 82030 333 58005 70000 82362==
41859,2024,04,26,03,00,AAXX 26034 41859 02950 01301 10308 20200 30022 40058 333 20230 58002 70000==
41859,2024,04,26,06,00,AAXX 26064 41859 02950 02302 10353 20170 30013 40050 333 58002 70000==
41859,2024,04,26,09,00,AAXX 26094 41859 02956 02301 10378 20100 39984 40020 333 58002 70000==
41859,2024,04,26,12,00,AAXX 26124 41859 02950 00000 10360 20170 39975 40011 333 10380 59001 70000==
41859,2024,04,26,15,00,AAXX 26154 41859 02930 00000 10294 20200 39992 40029 333 59004 70000==
41859,2024,04,26,18,00,AAXX 26184 41859 02930 02302 10276 20210 39999 40036 333 58001 70000==
41859,2024,04,26,21,00,AAXX 26214 41859 02930 00502 10261 20200 30003 40040 333 58008 70000==
41859,2024,04,27,00,00,AAXX 27004 41859 02930 00502 10251 20200 30007 40044 333 58007 70000==
41859,2024,04,27,03,00,AAXX 27034 41859 02450 71303 10287 20220 30034 40071 85610 333 20240 58012 70000 82710 84618 87458==
41859,2024,04,27,06,00,AAXX 27064 41859 02450 80303 10315 20240 30025 40061 8561/ 333 58012 70000 82710 84618 88458==
41859,2024,04,27,09,00,AAXX 27094 41859 02450 61302 10336 20250 39992 40029 84510 333 58008 70000 82710 83618 86458==
41859,2024,04,27,12,00,AAXX 27124 41859 02440 80502 10330 20260 39984 40020 8562/ 333 10342 58009 70000 82710 84618 88458==
