ESTACION,ANO,MES,DIA,HORA,MINUTO,PARTE
41858,2021,03,05,00,00,AAXX 05004 41858 01908 00000 10175 20170 30052 40099 74200 333 59018 70000==
41858,2021,03,05,03,00,AAXX 05034 41858 01915 01805 10226 20170 30071 40117 71044 333 20162 59020 70000==
41858,2021,03,05,06,00,AAXX 05064 41858 01935 01805 10290 20150 30071 40116 70540 333 59015 70000==
41858,2021,03,05,09,00,AAXX 05094 41858 01950 00000 10308 20150 30036 40081 70500 333 59017 70000==
41858,2021,03,05,12,00,AAXX 05124 41858 01950 00000 10280 20200 30027 40073 70500 333 10310 59017 70000==
41858,2021,03,05,15,00,AAXX 05154 41858 01940 00000 10220 20180 30049 40095 70500 333 59014 70000==
41858,2021,03,05,18,00,AAXX 05184 41858 01930 00000 10183 20160 30052 40099 70500 333 59016 70000==
41858,2021,03,05,21,00,AAXX 05214 41858 01935 00000 10180 20160 30053 40100 70500 333 58004 70000==
41858,2021,03,06,00,00,AAXX 06004 41858 01940 00904 10175 20160 30058 40105 70500 333 58006 70000==
41858,2021,03,06,03,00,AAXX 06034 41858 01440 80905 10200 20140 30081 40128 70522 8452/ 333 20166 58010 70000 84615 88458==
41858,2021,03,06,06,00,AAXX 06064 41858 01432 70905 10225 20180 30084 40130 70522 83520 333 58013 70000 83615 87458==
41858,2021,03,06,09,00,AAXX 06094 41858 02958 01802 10338 20190 30077 40079 333 59013 70000==
41858,2021,03,06,12,00,AAXX 06124 41858 01928 00000 10255 20210 30047 40092 71010 333 10268 58020 70000==
41858,2021,03,06,15,00,AAXX 06154 41858 01925 00000 10215 20190 30071 40114 71000 333 58022 70000==
41858,2021,03,06,18,00,AAXX 06184 41858 01920 00000 10190 20170 30076 40123 71000 333 58024 70000==
41858,2021,03,06,21,00,AAXX 06214 41858 01925 00000 10180 20160 30076 40123 71000 333 58023 70000==
41858,2021,03,07,00,00,AAXX 07004 41858 01920 02705 10170 20150 30075 40122 71000 333 58017 70000==
41858,2021,03,07,03,00,AAXX 07034 41858 01930 00906 10212 20170 30104 40151 71000 333 20164 58023 70000==
41858,2021,03,07,06,00,AAXX 07064 41858 01440 30907 10260 20170 30106 40152 70522 83500 333 58022 70000 83615==
41858,2021,03,07,09,00,AAXX 07094 41858 01/56 20905 10280 20200 30073 40118 70521 82030 333 58023 70000 82362==
41858,2021,03,07,12,00,AAXX 07124 41858 01950 00905 10250 20180 30072 40117 70520 333 10282 58025 70000==
41858,2021,03,07,15,00,AAXX 07154 41858 01930 00000 10215 20190 30090 40136 70500 333 58019 70000==
41858,2021,03,07,18,00,AAXX 07184 41858 01930 00000 10196 20180 30097 40144 70500 333 58021 70000==
41858,2021,03,07,21,00,AAXX 07214 41858 01920 00000 10184 20170 30094 40141 71000 333 58018 70000==
41858,2021,03,08,00,00,AAXX 08004 41858 01920 00000 10175 20150 30095 40142 71000 333 58020 70000==
41858,2021,03,08,03,00,AAXX 08034 41858 01940 02706 10230 20180 30114 40161 70500 333 20165 58010 70000==
41858,2021,03,08,06,00,AAXX 08064 41858 01950 02705 10275 20190 30112 40157 70500 333 58006 70000==
41858,2021,03,08,09,00,AAXX 08094 41858 01950 00905 10300 20170 30071 40116 70500 333 59002 70000==
41858,2021,03,08,12,00,AAXX 08124 41858 01950 00000 10280 20170 30061 40107 70500 333 10302 59011 70000==
41858,2021,03,08,15,00,AAXX 08154 41858 01930 00000 10220 20180 30082 40128 70500 333 59008 70000==
41858,2021,03,08,18,00,AAXX 08184 41858 01930 00000 10202 20180 30089 40135 70500 333 59008 70000==
41858,2021,03,08,21,00,AAXX 08214 41858 01930 00000 10190 20170 30085 40132 70500 333 59009 70000==
41858,2021,03,09,00,00,AAXX 09004 41858 01925 00000 10180 20160 30090 40137 71000 333 59005 70000==
41858,2021,03,09,03,00,AAXX 09034 41858 01/33 60905 10240 20170 30094 40140 70522 86030 333 20188 59020 70000 86362==
41858,2021,03,09,06,00,AAXX 09064 41858 01950 00907 10286 20200 30091 40136 70520 333 59021 70000==
41858,2021,03,09,09,00,AAXX 09094 41858 01432 61805 10290 20210 30058 40103 70522 83520 333 59013 70000 83617 85460==
41858,2021,03,09,12,00,AAXX 09124 41858 01424 60000 10270 20210 30051 40097 71022 83420 333 10293 59010 70000 83615 86460==
41858,2021,03,09,15,00,AAXX 09154 41858 01/20 30000 10225 20200 30076 40122 71000 83030 333 59006 70000 83362==
41858,2021,03,09,18,00,AAXX 09184 41858 01914 00000 10204 20180 30083 40130 71000 333 59006 70000==
