ESTACION,ANO,MES,DIA,HORA,MINUTO,PARTE
41858,2022,07,01,00,00,AAXX 01004 41858 01415 40000 10280 20260 39964 40009 71022 83520 333 59003 70060 83616 84458==
41858,2022,07,01,03,00,AAXX 01034 41858 01430 51605 10312 20270 39972 40016 70522 83520 333 20270 59008 70060 83615 85458==
41858,2022,07,01,06,00,AAXX 01064 41858 01440 80606 10310 20270 39965 40009 70522 8452/ 333 59008 70060 84615 88458==
41858,2022,07,01,09,00,AAXX 01094 41858 01415 81506 10290 20260 39946 49991 79522 8592/ 333 59006 70200 83614 88458 82925==
41858,2022,07,01,12,00,AAXX 01124 41858 21440 60605 10310 20260 39935 49979 70596 83520 333 10335 59009 60517 70510 83626 86458==
41858,2022,07,01,15,00,AAXX 01154 41858 01450 40905 10285 20260 39962 40007 70522 83530 333 59002 70510 83616 83362==
41858,2022,07,01,18,00,AAXX 01184 41858 01440 40905 10275 20260 39975 40020 70522 83520 333 59003 70510 83616 84458==
41858,2022,07,01,21,00,AAXX 01214 41858 01440 80000 10278 20270 39967 40012 70522 8452/ 333 59008 70510 84615 88458==
41858,2022,07,02,00,00,AAXX 02004 41858 01340 80000 10280 20270 39953 49998 70522 8562/ 333 59010 70510 84708 85614 88458==
41858,2022,07,02,03,00,AAXX 02034 41858 02450 60804 10302 20270 39956 40000 83520 333 20270 59016 70510 83615 86458==
41858,2022,07,02,06,00,AAXX 02064 41858 01450 60906 10320 20260 39958 40001 70522 83520 333 59006 70510 83615 86458==
41858,2022,07,02,09,00,AAXX 02094 41858 01450 50905 10346 20270 39933 49977 70522 85800 333 59010 70310 83615 83825==
41858,2022,07,02,12,00,AAXX 02124 41858 01550 60505 10318 20270 39929 49973 70522 82130 333 10348 59006 70000 82825 85362==
41858,2022,07,02,15,00,AAXX 02154 41858 01950 00000 10295 20260 39949 49993 70500 333 59013 70000==
41858,2022,07,02,21,00,AAXX 02214 41858 01940 00905 10284 20260 39954 49999 70500 333 59013 70000==
41858,2022,07,03,00,00,AAXX 03004 41858 01440 30907 10283 20260 39956 40000 70500 81530 333 58003 70000 81616 83362==
41858,2022,07,03,03,00,AAXX 03034 41858 01450 60906 10305 20260 39973 40017 70522 84520 333 20270 58017 70000 84616 86458==
41858,2022,07,03,06,00,AAXX 03064 41858 01450 60904 10326 20240 39971 40015 70522 84520 333 58013 70000 84616 86458==
41858,2022,07,03,09,00,AAXX 03094 41858 01450 60905 10335 20260 39942 49985 70522 83520 333 58009 70000 83616 86460==
41858,2022,07,03,12,00,AAXX 03124 41858 01450 61203 10325 20260 39936 49980 70522 83520 333 10345 58007 70000 83616 84460==
41858,2022,07,03,15,00,AAXX 03154 41858 01440 50905 10300 20270 39958 40002 70511 83520 333 58009 70000 83616 84460==
41858,2022,07,03,18,00,AAXX 03184 41858 01435 60905 10290 20270 39970 40015 70511 83420 333 58015 70000 83616 86460==
41858,2022,07,03,21,00,AAXX 03214 41858 01/40 40904 10284 20260 39954 49999 70520 84030 333 58000 70000 84362==
41858,2022,07,04,00,00,AAXX 04004 41858 01950 01305 10280 20260 39956 40001 70510 333 58000 70000==
41858,2022,07,04,03,00,AAXX 04034 41858 01450 41808 10305 20260 39955 40018 70522 83801 333 20271 58000 70000 83615 83825==
41858,2022,07,04,09,00,AAXX 04094 41858 01550 30605 10350 20270 39939 49983 70562 83100 333 59003 70010 83825==
41858,2022,07,04,15,00,AAXX 04154 41858 01440 61805 10310 20270 39953 49997 70522 83420 333 59005 70010 83616 86460==
41858,2022,07,04,18,00,AAXX 04184 41858 01440 50905 10295 20270 39966 40010 70511 83420 333 59004 70010 83616 84460==
41858,2022,07,04,21,00,AAXX 04214 41858 01/30 40904 10290 20270 39954 49999 70511 84030 333 58000 70010 84362==
41858,2022,07,05,00,00,AAXX 05004 41858 01/18 30000 10285 20280 39955 40000 71010 83030 333 59001 70010 83362==
41858,2022,07,05,03,00,AAXX 05034 41858 01/50 31206 10330 20280 39968 40012 70522 83030 333 20278 59005 70010 83362==
41858,2022,07,05,06,00,AAXX 05064 41858 01550 30905 10346 20260 39962 40005 70520 83100 333 59007 70000 83825==
41858,2022,07,05,09,00,AAXX 05094 41858 01550 41205 10370 20250 39941 49984 70522 83230 333 58002 70000 83825==
