ESTACION,ANO,MES,DIA,HORA,MINUTO,PARTE
41850,2024,07,19,06,00,AAXX 19064 41850 NIL=
41850,2024,07,24,12,00,AAXX 24124 41850 32456 60000 10320 20250 39831 49926 82510 333 10350 56990 59036 70060 82618 86458=
41850,2024,07,24,18,00,AAXX 24184 41850 31445 20000 10289 20260 39857 49953 82500 333 56900 59038 70000 82618=
41850,2024,07,25,00,00,AAXX 25004 41850 11450 30000 10265 20265 39842 49939 60194 70562 83500 333 56900 59021 70190 83618=
41850,2024,07,25,06,00,AAXX 25064 41850 32457 70000 10330 20260 39846 49941 82510 333 56990 59010 70190 82618 87458=
41850,2024,07,25,12,00,AAXX 25124 41850 32456 60000 10313 20270 39830 49925 82510 333 10349 56990 59001 70190 82618=
41851,2024,07,19,06,00,AAXX 19064 41851 32450 30901 10346 20280 39929 49990 83530 333 56990 59023 70000 82618 83362=
41851,2024,07,20,06,00,AAXX 20064 41851 32450 81201 10333 20260 39951 40012 8352/ 333 56999 58022 70000 83618 88458=
41851,2024,07,21,12,00,AAXX 21124 41851 32450 21201 10340 20260 39917 49977 81530 333 10350 56990 59008 70000 81618=
41851,2024,07,22,18,00,AAXX 22184 41851 11450 80901 10275 20260 39957 40019 60083 70262 8352/ 333 56999 58004 70118 83618 88458=
41851,2024,07,23,00,00,AAXX 23004 41851 11450 80901 10270 20260 39942 40004 60014 70262 8352/ 333 56999 59008 70130 83618 88458=
41851,2024,07,24,12,00,AAXX 24124 41851 NIL=
41851,2024,07,25,06,00,AAXX 25064 41851 32350 61502 10336 20280 39883 49943 83620 333 56290 59016 70022 81709 83617 86458=
41851,2024,07,25,12,00,AAXX 25124 41851 NIL=
41856,2024,07,19,06,00,AAXX 19064 41856 32456 50000 10340 20260 39958 49992 83430 333 56990 59019 70000 81618 83825 85362=
41856,2024,07,20,06,00,AAXX 20064 41856 32950 21402 10320 20260 39979 40014 82030 333 65090 58021 70000 82362=
41856,2024,07,21,12,00,AAXX 21124 41856 32450 21101 10325 20270 39946 49980 81130 333 10344 56990 59004 70000 81830=
41856,2024,07,22,18,00,AAXX 22184 41856 11420 81301 10275 20260 39986 40021 60478 70362 8642/ 333 56999 58004 70472 84618 88458=
41856,2024,07,23,00,00,AAXX 23004 41856 11340 80000 10274 20260 39970 40005 60096 70262 8662/ 333 56399 59007 70557 83710 83618 88458=
41856,2024,07,24,12,00,AAXX 24124 41856 NIL=
41856,2024,07,25,00,00,AAXX 25004 41856 32004 51301 10280 20260 39906 49941 83430 333 56990 59020 70026 82618 83458=
41856,2024,07,25,06,00,AAXX 25064 41856 32456 81002 10330 20260 39908 49942 83430 333 56990 59017 70000 82618 83458=
41856,2024,07,25,12,00,AAXX 25124 41856 NIL=
