ESTACION,ANO,MES,DIA,HORA,MINUTO,PARTE
41850,2024,10,25,00,00,AAXX 25004 41850 31350 80905 10215 20200 30012 40112 70522 8562/ 333 56299 58002 70000 83708 84616 88458=
41850,2024,10,25,03,00,AAXX 25034 41850 21350 80904 10215 20210 30035 40135 70562 8562/ 333 20210 56299 58005 6001/ 70008 83708 84616 88458=
41850,2024,10,25,06,00,AAXX 25064 41850 NIL=
41850,2024,10,25,09,00,AAXX 25094 41850 31350 80904 10227 20210 30003 40103 70522 8562/ 333 56299 58006 70012 83708 84616 88458=
41850,2024,10,25,12,00,AAXX 25124 41850 31450 80502 10220 20210 30005 40105 70522 8452/ 333 10238 56999 59006 70012 84617 88458=
41850,2024,10,25,15,00,AAXX 25154 41850 31440 60604 10225 20200 30018 40118 70522 83520 333 56990 59011 70012 83617 86458=
41850,2024,10,25,18,00,AAXX 25184 41850 31440 50403 10223 20200 30013 40113 70522 83520 333 56990 59012 70012 83617 85458=
41850,2024,10,25,21,00,AAXX 25214 41850 NIL=
41850,2024,10,26,00,00,AAXX 26004 41850 31450 40503 10206 20200 30010 40110 70522 82530 333 56990 59002 70012 82618 84362=
41850,2024,10,26,03,00,AAXX 26034 41850 32456 30603 10251 20200 30029 40128 82530 333 20204 56990 59006 70004 82618 83362=
41850,2024,10,26,06,00,AAXX 26063 41850 32456 60902 10271 20210 30018 40116 83520 333 56990 59003 70000 83617 86458=
41850,2024,10,26,09,00,AAXX 26094 41850 32456 81503 10265 20220 39993 40091 8352/ 333 56999 59010 70000 83617 88458=
41850,2024,10,26,12,00,AAXX 26124 41850 32450 50000 10247 20230 39992 40091 82520 333 10280 56990 59013 70000 82618 85458=
41850,2024,10,26,18,00,AAXX 26184 41850 31940 50000 10222 20210 30007 40107 70522 82520 333 56990 59006 70000 82618 85458=
41850,2024,10,26,21,00,AAXX 26214 41850 31440 20000 10213 20200 30006 40106 70510 82500 333 56900 59006 70000 82618=
41850,2024,10,27,00,00,AAXX 27004 41850 31450 20000 10204 20200 30005 40106 70510 82500 333 56900 59005 70000 82618=
41850,2024,10,27,03,00,AAXX 27034 41850 32456 00902 10272 20220 30021 40119 333 20202 59008 70000=
41850,2024,10,27,06,00,AAXX 27064 41850 32456 00000 10308 20210 39993 40090 333 59025 70000=
41850,2024,10,27,09,00,AAXX 27094 41850 32456 11802 10317 20210 39969 40065 81500 333 56900 59024 70000 81618=
41850,2024,10,27,12,00,AAXX 27124 41850 32450 20000 10266 20250 39972 40070 82500 333 10325 56900 59020 70000 82618=
41850,2024,10,27,15,00,AAXX 27154 41850 NIL=
41850,2024,10,27,18,00,AAXX 27184 41850 NIL=
41850,2024,10,27,21,00,AAXX 27214 41850 31920 00000 10222 20210 39990 40090 71000 333 59016 70000=
41850,2024,10,28,00,00,AAXX 28004 41850 31908 00202 10214 20200 39989 40089 74240 333 59016 70000=
41850,2024,10,28,03,00,AAXX 28034 41850 31950 00000 10275 20240 30011 40109 70540 333 20210 59010 70000=
41850,2024,10,28,06,00,AAXX 28064 41850 31956 31801 10311 20220 39991 40088 70340 83010 333 56090 59002 70000 83460=
41850,2024,10,28,09,00,AAXX 28094 41850 32956 31802 10314 20200 39961 40057 83010 333 56090 59008 70000 83460=
41850,2024,10,28,12,00,AAXX 28124 41850 31950 00000 10269 20250 39966 40064 70510 333 10327 59006 70000=
41850,2024,10,28,15,00,AAXX 28154 41850 31940 00000 10247 20240 39983 40082 70500 333 59004 70000=
41850,2024,10,28,18,00,AAXX 28184 41850 31940 00000 10242 20230 39985 40084 70500 333 59007 70000=
41850,2024,10,28,21,00,AAXX 28214 41850 31920 00000 10231 20220 39987 40087 71000 333 59003 70000=
41850,2024,10,29,00,00,AAXX 29004 41850 31908 00000 10220 20210 39988 40088 74042 333 59001 70000=
41850,2024,10,29,03,00,AAXX 29034 41850 31940 00502 10272 20240 30009 40107 70540 333 20218 59002 70000=
41850,2024,10,29,06,00,AAXX 29064 41850 31456 40000 10315 20230 39995 40092 70340 82510 333 56990 58004 70000 82618 84460=
41850,2024,10,29,09,00,AAXX 29094 41850 NIL=
41850,2024,10,29,12,00,AAXX 29124 41850 31450 20000 10274 20250 39966 40064 70510 82500 333 10328 56900 58000 70000 82618=
41850,2024,10,29,15,00,AAXX 29154 41850 31440 20000 10261 20250 39984 40083 70510 82500 333 56900 58001 70000 82618=
41850,2024,10,29,18,00,AAXX 29184 41850 31940 00000 10256 20250 39984 40083 70510 333 59001 70000=
41850,2024,10,29,21,00,AAXX 29214 41850 31940 00000 10248 20240 39988 40087 70500 333 58001 70000=
41850,2024,10,30,00,00,AAXX 30004 41850 31940 00902 10240 20230 39993 40092 70500 333 58005 70000=
41850,2024,10,30,03,00,AAXX 30034 41850 31450 50000 10261 20240 30016 40115 70521 83520 333 20238 56990 58007 70000 83618 85458=
41850,2024,10,30,06,00,AAXX 30064 41850 32456 50000 10313 20230 30002 40099 82530 333 56990 58007 70000 82616 85362=
41850,2024,10,30,09,00,AAXX 30094 41850 32456 20000 10315 20220 39976 40073 82500 333 56900 58012 70000 82618=
41850,2024,10,30,12,00,AAXX 30124 41850 31450 00000 10267 20250 39986 40084 70520 333 10322 58020 70000=
41850,2024,10,30,15,00,AAXX 30154 41850 31445 00000 10253 20230 30004 40103 70500 333 58018 70000=
41850,2024,10,30,18,00,AAXX 30184 41850 31440 00000 10246 20230 30006 40105 70500 333 58022 70000=
41850,2024,10,30,21,00,AAXX 30214 41850 31935 00000 10230 20220 30007 40107 70500 333 58019 70000=
41850,2024,10,31,00,00,AAXX 31004 41850 31940 00000 10214 20200 30008 40108 70500 333 58015 70000=
41850,2024,10,31,03,00,AAXX 31034 41850 31950 00000 10269 20230 30026 40125 70500 333 20212 58010 70000=
41850,2024,10,31,06,00,AAXX 31064 41850 NIL=
41850,2024,10,31,09,00,AAXX 31094 41850 32457 30000 10307 20160 39982 40079 83500 333 56900 83500 59020 70000 83618=
41850,2024,10,31,12,00,AAXX 31124 41850 31450 20000 10265 20250 39992 40090 70511 82500 333 10319 56900 58006 70000 82618=
41850,2024,10,31,18,00,AAXX 31184 41850 31940 00000 10244 20230 30013 40112 70510 333 58007 70000=
